Start,End,Height,Verified,Material
1,2,12,FALSE,Concrete
2,5,6,TRUE,Copper
5,6,27,TRUE,Plastic
6,13,48,FALSE,Plastic
13,23,47,FALSE,Steel
23,30,22,FALSE,Concrete
30,36,9,FALSE,Plastic
36,43,5,TRUE,Plastic
43,51,17,TRUE,Copper
51,52,28,FALSE,Steel
52,57,39,TRUE,Concrete
57,64,53,TRUE,Copper
64,66,9,FALSE,Concrete
66,74,31,TRUE,Plastic
74,77,33,FALSE,Copper
77,83,20,TRUE,Concrete
83,92,18,FALSE,Concrete
92,93,43,FALSE,Plastic
93,98,54,FALSE,Wood
98,102,13,FALSE,Wood
102,109,23,TRUE,Wood
109,119,16,TRUE,Wood
119,125,41,FALSE,Plastic
125,133,31,FALSE,Wood
133,140,55,FALSE,Wood
140,148,21,FALSE,Concrete
148,155,39,TRUE,Steel
155,160,28,FALSE,Wood
160,163,44,FALSE,Plastic
163,169,7,FALSE,Wood
169,173,46,TRUE,Wood
173,177,16,FALSE,Plastic
177,182,44,TRUE,Concrete
182,191,37,FALSE,Plastic
191,199,15,TRUE,Plastic
199,203,43,FALSE,Steel
203,211,21,FALSE,Plastic
211,217,21,TRUE,Plastic
217,221,51,TRUE,Plastic
221,230,31,TRUE,Wood
230,235,43,FALSE,Steel
235,238,23,FALSE,Wood
238,244,50,FALSE,Plastic
244,251,52,TRUE,Plastic
251,254,16,FALSE,Concrete
254,255,17,FALSE,Steel
255,261,6,TRUE,Plastic
261,262,31,TRUE,Concrete
262,270,48,TRUE,Wood
270,275,27,FALSE,Copper
